	new_el	N_Z	N	Z	A	el	o	ME_keV	ME_unc_keV	BE_keV	BE_unc_keV	B	Q_keV	Q_unc_keV	mass_micro_u	mass_unc_micro_u	extrapol	mass_prec
3221		43	142	99	241	Es	-a	63893.0	231.0	7485.0	1.0	B-	-5327.0	379.0	241068592.0	248.0	True	
3222		41	141	100	241	Fm	x	69220.0	300.0	7459.0	1.0	B-			241074311.0	322.0	True	
3223	0.0	58	150	92	242	U	+a	58620.0	201.0	7532.0	1.0	B-	1203.0	283.0	242062931.0	215.0	True	
3224		56	149	93	242	Np	+	57416.876	200.004	7533.4042	0.8265	B-	2700.0	200.0	242061639.548	214.712	False	2.6344327502344673
3225		54	148	94	242	Pu		54716.876	1.245	7541.3284	0.0052	B-	-751.1373	0.708	242058740.979	1.336	False	2.9452287151833825
3226		52	147	95	242	Am	-n	55468.014	1.118	7534.9917	0.0046	B-	664.3145	0.4143	242059547.358	1.199	False	2.95090259446626
3227		50	146	96	242	Cm		54803.699	1.141	7534.504	0.0047	B-	-2948.0	135.0	242058834.187	1.224	False	2.949822733714816
3228		48	145	97	242	Bk	IT	57752.0	135.0	7519.0	1.0	B-	-1635.0	135.0	242061999.0	144.0	True	
3229		46	144	98	242	Cf	-a	59386.982	12.892	7509.0991	0.0533	B-	-5414.0	257.0	242063754.544	13.84	False	2.8140394439355103
3230		44	143	99	242	Es	-a	64801.0	257.0	7483.0	1.0	B-	-3598.0	476.0	242069567.0	276.0	True	
3231		42	142	100	242	Fm	x	68400.0	401.0	7465.0	2.0	B-			242073430.0	430.0	True	
3232	0.0	59	151	92	243	U	x	62480.0	300.0	7518.0	1.0	B-	2674.0	302.0	243067075.0	322.0	True	
3233		57	150	93	243	Np	IT	59806.0	32.0	7526.0	0.0	B-	2051.0	32.0	243064204.0	34.0	True	
3234		55	149	94	243	Pu		57754.561	2.542	7531.0087	0.0105	B-	579.5559	2.6216	243062002.068	2.728	False	2.907188361813794
3235		53	148	95	243	Am		57175.005	1.388	7530.1742	0.0057	B-	-6.9302	1.5692	243061379.889	1.49	False	2.939693444358636
