el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
42Ar,42,180,,-34423.0,6.0,,,,32.9,y,1.1,0+,,16.0,,1952,B-=100,False,18,24,1.520030556854389e-07,,
42K,42,190,,-35022.03,0.11,,,,12.355,h,0.007,2-*,,16.0,,1935,B-=100,False,19,23,2.7867717050601153e-09,6.70e+9,22.625373363343332
42K,42,198,i,-28570.0,100.0,6450.0,100.0,,,,,(0+),T=3,16.0,,9999,,False,19,23,2.5338429986460275e-06,6.70e+9,22.625373363343332
42Ca,42,200,,-38547.29,0.15,,,,stbl,,,0+,,16.0,,1934,IS=0.647 23,False,20,22,3.799928369890244e-09,,
42Ca,42,208,i,-28797.0,10.0,9750.0,10.0,,,,,(2-),T=2,16.0,,9999,,False,20,22,2.533911462875829e-07,,
42Sc,42,210,,-32121.0,0.15,,,,680.72,ms,0.26,0+,T=1,16.0,,1955,B+=100,False,21,21,3.8006716295384385e-09,1.50e+3,7.313220387090301
42Sc,42,211,m,-31504.19,0.16,616.81,0.06,MD,61.7,s,0.4,7+,,16.0,,1963,B+=100,False,21,21,4.0541130983475975e-09,1.50e+3,7.313220387090301
42Sc,42,215,r,-26044.8,0.16,6076.2,0.07,RQ,,,,"(2+,3+,4",+),16.0,,9999,IT=100,False,21,21,4.05467398607584e-09,1.50e+3,7.313220387090301
42Ti,42,220,,-25104.35,0.27,,,,208.3,ms,0.4,0+,,16.0,,1964,B+=100,False,22,20,6.84264969932871e-09,,
42V,42,230,,-7620.0,200.0,,,,,,<55ns,2-.0,,16.0,,9999,p ?,True,23,19,5.0710426429035035e-06,,
42Cr,42,240,,7060.0,300.0,,,,13.3,ms,1.0,0+,,16.0,,1996,B+~100;B+p=94.4 50;2p ?,True,24,18,7.609645926108019e-06,,
43Al,43,130,,48270.0,600.0,,,,4.0,ms,>170ns,5/2+.0,,15.0,,2007,B- ?;B-n ?;B-2n ?,True,13,30,1.4874964852813504e-05,,
43Si,43,140,,24330.0,400.0,,,,30.0,ms,>260ns,3/2-.0,,15.0,,2002,B- ?;B-n ?;B-2n ?,True,14,29,9.911078686754699e-06,,
43P,43,150,,5040.0,300.0,,,,35.8,ms,1.3,(1/2+),,15.0,,1989,B-=100;B-n=100;B-2n ?,True,15,28,7.429995861234415e-06,,
43S,43,160,,-12195.0,5.0,,,,265,ms,13,3/2-,,15.0,,1979,B-=100;B-n=40 10,False,16,27,1.2378439158396972e-07,,
43S,43,161,m,-11874.0,5.0,320.7,0.5,,415.0,ns,2.6,(7/2-),,15.0,,2000,IT=100,False,16,27,1.2378537530114078e-07,,
43Cl,43,170,,-24160.0,60.0,,,,3.13,s,0.09,(3/2+),,15.0,,1976,B-=100;B-n ?,False,17,26,1.4850203608202226e-06,3.90e+2,5.966146739123692
43Ar,43,180,,-32010.0,5.0,,,,5.37,m,0.06,5/2(-),,15.0,,1969,B-=100,False,18,25,1.237316175991618e-07,4.84e+6,15.392425278692814
43K,43,190,,-36575.4,0.4,,,,22.3,h,0.1,3/2+*,,15.0,,1949,B-=100,False,19,24,9.897727972623198e-09,1.40e+9,21.059738073567623
43K,43,191,m,-35837.1,0.4,738.3,0.06,,200,ns,5,7/2-,,15.0,,1978,IT=100,False,19,24,9.897908794860447e-09,1.40e+9,21.059738073567623
43Ca,43,200,,-38408.87,0.23,,,,stbl,,,7/2-*,,15.0,,1934,IS=0.135 10,False,20,23,5.6911175205458286e-09,,
43Ca,43,208,i,-30414.0,14.0,7995.0,14.0,RQ,,,,(3/2)+,T=5/2,15.0,,9999,,False,20,23,3.4648439234368114e-07,,
43Sc,43,210,,-36188.1,1.9,,,,3.891,h,0.012,7/2-*,,15.0,,1935,B+=100,False,21,22,4.7017667840635566e-08,3.00e+5,12.611537753638338
43Sc,43,211,m,-36036.3,1.9,151.79,0.08,,438,us,5,3/2+,,15.0,,1964,IT=100,False,21,22,4.701784446148501e-08,3.00e+5,12.611537753638338
43Sc,43,212,n,-33064.4,1.9,3123.73,0.15,,472,ns,3,19/2-,,15.0,,1978,IT=100,False,21,22,4.702130256477919e-08,3.00e+5,12.611537753638338
43Sc,43,218,i,-31956.0,3.0,4232.0,4.0,RQ,,,,7/2-,T=3/2,15.0,,9999,,False,21,22,7.424619857278242e-08,3.00e+5,12.611537753638338
43Ti,43,220,,-29316.0,6.0,,,,509,ms,5,7/2-,,15.0,,1948,B+=100;B+p ?,False,22,21,1.4850685354400796e-07,,
43Ti,43,221,m,-29003.0,6.0,313.0,1.0,,11.9,us,0.3,(3/2+),,15.0,,1978,IT=100,False,22,21,1.4850800405148392e-07,,
43Ti,43,222,n,-26250.0,6.0,3066.4,1.0,,556,ns,6,(19/2-),,15.0,,1978,IT=100,False,22,21,1.4851812413921546e-07,,
43Ti,43,228,i,-24610.0,50.0,4710.0,50.0,,,,,7/2-.0,T=3/2,,,9999,,True,22,21,1.2377012789198608e-06,,
43V,43,230,,-17920.0,40.0,,,,79.3,ms,2.4,7/2-.0,,15.0,,1987,B+=100;B+p<2.5,False,23,20,9.903567370514326e-07,,
43V,43,238,i,-9705.0,15.0,8210.0,50.0,RQ,,,,3/2+,T=5/2,,,9999,,False,23,20,3.714593291843414e-07,,
43Cr,43,240,,-1970.0,200.0,,,,21.1,ms,0.3,(3/2+),,15.0,,1992,B+=100;B+p=79.3 30;B+2p=11.6 10;B+3p=0.13 +18-8;B+A ?,True,24,19,4.953898634670207e-06,,
43Mn,43,250,,17370.0,400.0,,,,,,,5/2-.0,,,,9999,p ?,True,25,18,9.912863507717571e-06,,
44Si,44,140,,29310.0,500.0,,,,4.0,ms,>360ns,0+,,11.0,,2007,B- ?;B-n ?;B-2n ?,True,14,30,1.2108454404191287e-05,,
44P,44,150,,11110.0,400.0,,,,18.5,ms,2.5,,,11.0,,1989,B-=100;B-n ?;B-2n ?,True,15,29,9.682799121744573e-06,,
44S,44,160,,-9204.0,5.0,,,,100,ms,1,0+,,11.0,,1979,B-=100;B-n=18 3,False,16,28,1.20979286134724e-07,,
44S,44,161,m,-7839.0,5.0,1365.0,0.8,,2.619,us,0.026,0+,,11.0,,2005,IT=100,False,16,28,1.2098328189132814e-07,,
44Cl,44,170,,-20480.0,90.0,,,,562,ms,106,(2-),,11.0,,1979,B-=100;B-n<8,False,17,27,2.177101295117797e-06,,
44Ar,44,180,,-32673.3,1.6,,,,11.87,m,0.05,0+,,11.0,,1969,B-=100,False,18,26,3.8693820610162134e-08,3.00e+6,14.914122846632385
44K,44,190,,-35781.5,0.4,,,,22.13,m,0.19,2-*,,11.0,,1954,B-=100,False,19,25,9.673030602242606e-09,6.00e+8,20.21244021318042
44Ca,44,200,,-41468.7,0.3,,,,stbl,,,0+,,11.0,,1922,IS=2.086 110,False,20,24,7.254002177387824e-09,,
44Ca,44,208,i,-29619.0,10.0,11850.0,10.0,,,,,2-,T=3,11.0,,9999,,False,20,24,2.418693744033315e-07,,
44Sc,44,210,,-37816.0,1.8,,,,4.0421,h,0.0025,2+*,,11.0,,1937,B+=100,False,21,23,4.352921894554841e-08,1.20e+9,20.905587393740365
44Sc,44,211,m,-37748.1,1.8,67.8679,0.0014,,154.8,ns,0.8,1-,,11.0,,1967,IT=100,False,21,23,4.352929042146468e-08,1.20e+9,20.905587393740365
44Sc,44,212,n,-37669.8,1.8,146.1914,0.002,,51.0,us,0.3,0-,,11.0,,1963,IT=100,False,21,23,4.352937284538268e-08,1.20e+9,20.905587393740365
44Sc,44,213,p,-37544.8,1.8,271.24,0.01,,58.61,h,0.10,6+*,,11.0,,1940,IT=98.80 7;B+=1.20 7,False,21,23,4.352950442955129e-08,1.20e+9,20.905587393740365
44Sc,44,218,i,-35038.3,2.5,2778.0,3.0,RQ,,,,0+,T=2,11.0,,9999,,False,21,23,6.046130989336158e-08,1.20e+9,20.905587393740365
44Ti,44,220,,-37548.6,0.7,,,,59.1,y,0.3,0+,,11.0,,1954,EC=100,False,22,22,1.6928668529241848e-08,,
44Ti,44,228,i,-30942.2,0.9,6606.4,0.5,,,,,2+,T=1,11.0,,9999,IT=100,False,22,22,2.176890893983616e-08,,
44Ti,44,229,j,-28210.6,2.1,9338.0,2.0,,,,,0+  frg,T=2,11.0,,9999,IT=100,False,22,22,5.079747710264313e-08,,
44V,44,230,,-23808.0,7.0,,,,111,ms,7,(2)+,,11.0,,1971,B+=100;B+A=?;B+p ?,False,23,21,1.6934825655839452e-07,,
44V,44,231,m,-23537.0,5.0,271.0,9.0,MD,150,ms,3,(6)+,,11.0,,1997,B+=100,False,23,21,1.2096383346154981e-07,,
44V,44,232,n,-23660.0,100.0,150.0,100.0,,,,,0-.0,,,,9999,,True,23,21,2.419269470185908e-06,,
44V,44,238,i,-21119.0,12.0,2689.0,14.0,p,,,,0+.0,T=2,,,1992,p=100,False,23,21,2.9033018407472383e-07,,
44Cr,44,240,,-13420.0,50.0,,,,42.8,ms,0.6,0+,,11.0,,1987,B+=100;B+p=12 2,False,24,20,1.2099723444667445e-06,,
44Mn,44,250,,7460.0,300.0,,,,,,<105ns,2-.0,,11.0,,9999,p ?,True,25,19,7.2637316572120974e-06,,
45Si,45,140,,37090.0,600.0,,,,4.0,ms,,3/2-.0,,,,9999,B- ?;B-n ?;B-2n ?,True,14,31,1.4209508263108974e-05,,
45P,45,150,,15960.0,500.0,,,,10.0,ms,>200ns,1/2+.0,,8.0,,1990,B- ?;B-n ?;B-2n ?,True,15,30,1.1835696686833745e-05,,
45S,45,160,,-3340.0,300.0,,,,68,ms,2,3/2-.0,,8.0,,1989,B-=100;B-n~54;B-2n ?,True,16,29,7.098392372657315e-06,,
45Cl,45,170,,-18260.0,140.0,,,,413,ms,25,(3/2+),,8.0,,1979,B-=100;B-n=24 4,False,17,28,3.3115153926221155e-06,,
45Ar,45,180,,-29770.8,0.5,,,,21.48,s,0.15,"(5/2-,7/",2-),8.0,,1974,B-=100,False,18,27,1.1823983059149535e-08,1.20e+5,11.695247021764184
45K,45,190,,-36615.6,0.5,,,,17.8,m,0.6,3/2+*,,8.0,,1964,B-=100,False,19,26,1.182243099954715e-08,1.70e+8,18.951308995014536
45Ca,45,200,,-40812.2,0.4,,,,162.61,d,0.09,7/2-*,,8.0,,1940,B-=100,False,20,25,9.457295581237848e-09,,
45Sc,45,210,,-41072.3,0.7,,,,stbl,,,7/2-*,,8.0,,1923,IS=100,False,21,24,1.6550671582853378e-08,,
45Sc,45,211,m,-41059.9,0.7,12.4,0.05,,318,ms,7,3/2+,,8.0,,1964,IT=100,False,21,24,1.655067643523573e-08,,
45Sc,45,218,i,-34373.0,15.0,6699.0,15.0,,,,,7/2-,T=5/2,8.0,,9999,,False,21,24,3.547134337549301e-07,,
45Ti,45,220,,-39010.3,0.8,,,,184.8,m,0.5,7/2-*,,8.0,,1941,B+=100,False,22,23,1.8916553941924748e-08,,
45Ti,45,221,m,-38973.8,0.8,36.53,0.15,,3.0,us,0.2,3/2-,,8.0,,2006,IT=100,False,22,23,1.8916570268206933e-08,,
45Ti,45,228,i,-34291.0,3.0,4719.0,3.0,RQ,,,,7/2-,T=3/2,8.0,,9999,,False,22,23,7.094499411330487e-08,,
45V,45,230,,-31886.4,0.9,,,,547,ms,6,7/2-,,8.0,,1975,B+=100,False,23,22,2.1285359637198293e-08,,
45V,45,231,m,-31829.6,1.1,56.8,0.6,,512,ns,13,(3/2-),,8.0,,1980,IT=100,False,23,22,2.6015474504273376e-08,,
45V,45,238,i,-27090.0,9.0,4797.0,9.0,RQ,,,,7/2-,T=3/2,8.0,,9999,p=100,False,23,22,2.1287774453713872e-07,,
45Cr,45,240,,-19510.0,40.0,,,*,60.9,ms,0.4,7/2-.0,,8.0,,1974,B+=100;B+p=34.4 8,False,24,21,9.463219246745299e-07,,
45Cr,45,241,m,-19400.0,40.0,107.0,1.0,*,>80,us,,(3/2),,11.0,,2011,IT=100,False,24,21,9.463243873751978e-07,,
45Mn,45,250,,-4980.0,300.0,,,,,,<70ns,5/2-.0,,8.0,,9999,p ?,True,25,20,7.100072341164056e-06,,
45Fe,45,260,,14410.0,280.0,,,,2.5,ms,0.2,3/2+.0,,8.0,,1996,2p=70 4;B+=30 4;B+p=18.9 35;B+2p=7.8 23,True,26,19,6.629979629862928e-06,,
46P,46,150,,22840.0,500.0,,,,9.0,ms,>200ns,,,0.0,,1990,B- ?;B-n ?;B-2n ?,True,15,31,1.1580033138079147e-05,,
46S,46,160,,640.0,400.0,,,,50,ms,8,0+,,10.0,,1989,B-=100;B-n ?;B-2n ?,True,16,30,9.259543041499013e-06,,
46Cl,46,170,,-13730.0,100.0,,,,232,ms,2,2-.0,,12.0,,1989,B-=100;B-n=60 9;B-2n ?,False,17,29,2.3141852335544804e-06,,
46Ar,46,180,,-29771.3,2.3,,,,8.4,s,0.6,0+,,0.0,,1974,B-=100,False,18,28,5.3208100697628394e-08,3.00e+4,10.308952660644293
46K,46,190,,-35413.9,0.7,,,,96.30,s,0.08,2-*,,0.0,,1965,B-=100,False,19,27,1.6192140592848546e-08,6.84e+8,20.343468475586825
46Ca,46,200,,-43139.6,2.2,,,,stbl,,,0+,,0.0,,1938,IS=0.004 3;2B- ?,False,20,26,5.0882013927292865e-08,,
46Sc,46,210,,-41761.6,0.7,,,,83.757,d,0.014,4+*,,0.0,,1936,B-=100,False,21,25,1.619073201738851e-08,7.00e+7,18.064005800013632
46Sc,46,211,m,-41709.6,0.7,52.011,0.001,,9.4,us,0.8,6+,,0.0,,1966,IT=100,False,21,25,1.619075149065446e-08,7.00e+7,18.064005800013632
46Sc,46,212,n,-41619.1,0.7,142.528,0.007,,18.75,s,0.04,1-,,0.0,,1948,IT=100,False,21,25,1.6190785381738635e-08,7.00e+7,18.064005800013632
46Sc,46,218,i,-36748.0,4.0,5014.0,4.0,RQ,,,,0+,T=3,0.0,,9999,,False,21,25,9.252919860173715e-08,7.00e+7,18.064005800013632
46Ti,46,220,,-44128.27,0.09,,,,stbl,,,0+,,0.0,,1934,IS=8.25 3,False,22,24,2.0816138671786154e-09,,
46Ti,46,228,i,-34962.0,7.0,9166.0,7.0,RQ,,,,4+,T=2,0.0,,9999,,False,22,24,1.6193763270078786e-07,,
46Ti,46,229,j,-29977.0,6.0,14151.0,6.0,RQ,,,,0+,T=3,0.0,,9999,,False,22,24,1.3881969423800328e-07,,
46V,46,230,,-37075.9,0.13,,,,422.62,ms,0.05,0+,T=1,0.0,,1952,B+=100,False,23,23,3.0073560901823056e-09,,
46V,46,231,m,-36274.44,0.16,801.46,0.1,,1.02,ms,0.07,3+,T=0,0.0,,1962,IT=100,False,23,23,3.701429968427319e-09,,
46Cr,46,240,,-29472.0,11.0,,,,224.3,ms,1.3,0+,,10.0,,1972,B+=100,False,24,22,2.54520978822895e-07,,
46Cr,46,248,i,-20328.0,13.0,9143.0,17.0,RQ,,,,(4+),T=2,10.0,,9999,p=?,False,24,22,3.0086117553589703e-07,,
46Mn,46,250,,-12420.0,90.0,,,*,36.2,ms,0.4,(4+),,10.0,,1987,B+=100;B+p=57.0 8;B+2p~18;B+A ?,False,25,21,2.0833287020299716e-06,,
46Mn,46,251,m,-12270.0,140.0,150.0,100.0,*,1.0,ms,,1-.0,,,,9999,B+ ?,True,25,21,3.240744789052125e-06,,
46Mn,46,258,i,-7390.0,50.0,5030.0,100.0,p,,,,,T=3,,,9999,,False,25,21,1.1575396125006202e-06,,
46Fe,46,260,,1210.0,300.0,,,,13.0,ms,2.0,0+,,10.0,,1992,B+=100;B+p=78.7 38;B+2p=?,True,26,20,6.946828766119907e-06,,
47P,47,150,,28810.0,600.0,,,,4.0,ms,>400ns,1/2+.0,,,,2018,B- ?;B-n ?;B-2n ?,True,15,32,1.3601936893258326e-05,,
47S,47,160,,7200.0,400.0,,,,24.0,ms,>200ns,3/2-.0,,7.0,,1989,B- ?;B-n ?;B-2n ?,True,16,31,9.063783361240858e-06,,
47Cl,47,170,,-9580.0,200.0,,,,101,ms,5,3/2+.0,,7.0,,1989,B-=100;B-n<3;B-2n ?,True,17,30,4.530301909334159e-06,,
47Ar,47,180,,-25367.3,1.2,,,,1.23,s,0.03,(3/2)-,,7.0,,1985,B-=100;B-n<0.2,False,18,29,2.717289031769026e-08,9.60e+3,9.169518377455928
47K,47,190,,-35712.0,1.4,,,,17.38,s,0.03,1/2+*,,7.0,,1964,B-=100,False,19,28,3.169520912532777e-08,2.80e+6,14.845129975145433
47Ca,47,200,,-42344.7,2.2,,,,4.536,d,0.003,7/2-*,,7.0,,1951,B-=100,False,20,27,4.980073727052036e-08,1.10e+7,16.213405830762646
47Sc,47,210,,-44336.8,1.9,,,,3.3492,d,0.0006,7/2-*,,7.0,,1945,B-=100,False,21,26,4.300904733453279e-08,3.00e+7,17.216707939626428
47Sc,47,211,m,-43570.0,1.9,766.83,0.09,,272,ns,8,(3/2)+,,7.0,,1968,IT=100,False,21,26,4.300979387901066e-08,3.00e+7,17.216707939626428
47Ti,47,220,,-44937.61,0.08,,,,stbl,,,5/2-*,,7.0,,1934,IS=7.44 2,False,22,25,1.8109356447296558e-09,,
47Ti,47,228,i,-37588.6,0.7,7349.0,0.7,,,,,7/2-,T=5/2,7.0,,9999,,False,22,25,1.584832337570298e-08,,
47V,47,230,,-42007.07,0.11,,,,32.6,m,0.3,3/2-*,,7.0,,1942,B+=100,False,23,24,2.4902746178973406e-09,,
47V,47,238,i,-37856.72,0.16,4150.35,0.11,,,,,5/2(-),T=3/2,7.0,,9999,IT=100,False,23,24,3.622557998659646e-09,,
47Cr,47,240,,-34563.0,5.0,,,,461.6,ms,1.5,3/2-,,7.0,,1972,B+=100,False,24,23,1.1321669562277046e-07,,
47Cr,47,249,j,-29803.0,21.0,4760.0,20.0,,,,,5/2-.0,T=5/2,,,9999,,True,24,23,4.755613787120821e-07,,
47Mn,47,250,,-22570.0,30.0,,,,88.0,ms,1.3,5/2-.0,,7.0,,1987,B+=100;B+p<1.7,False,25,22,6.795046006091945e-07,,
47Mn,47,258,i,-15191.0,17.0,7380.0,40.0,RQ,,,,7/2-.0,T=5/2,7.0,,2001,p=100,False,25,22,3.8511697372275106e-07,,
47Fe,47,260,,-7130.0,500.0,,,,21.9,ms,0.2,7/2-.0,,7.0,,1992,B+=100;B+p=88.4 9,True,26,21,1.1329370650412851e-05,,
47Fe,47,261,m,-6360.0,510.0,770.0,100.0,,,,,3/2+.0,,,,9999,IT ?,True,26,21,1.1556159686406336e-05,,
47Co,47,270,,10620.0,600.0,,,,,,,7/2-.0,,7.0,,9999,p ?,True,27,20,1.3601113633029512e-05,,
48S,48,160,,12390.0,500.0,,,,10.0,ms,>200ns,0+,,6.0,,1990,B- ?;B-n ?;B-2n ?,True,16,32,1.1094824680876625e-05,,
48Cl,48,170,,-4280.0,500.0,,,,30.0,ms,>200ns,,,6.0,,1989,B- ?;B-n ?;B-2n ?,True,17,31,1.1091040386140076e-05,,
48Ar,48,180,,-22355.0,17.0,,,,415,ms,15,0+,,10.0,,2004,B-=100;B-n=38 6,False,18,30,3.7695505074145707e-07,,
48K,48,190,,-32284.5,0.8,,,,6.83,s,0.14,1-*,,6.0,,1972,B-=100;B-n=1.14 15,False,19,29,1.773566488681898e-08,1.30e+6,14.077874822431765
48Ca,48,200,,-44224.868,0.018,,,,56,Ey,10,0+,,6.0,,1938,IS=0.187 21;2B-=?;B- ?,False,20,28,3.9895828971098265e-10,,
48Sc,48,210,,-44504.0,5.0,,,,43.67,h,0.09,6+*,,6.0,,1937,B-=100,False,21,27,1.1082423837009775e-07,7.70e+6,15.856730886823913
48Ti,48,220,,-48492.95,0.07,,,,stbl,,,0+,,6.0,,1923,IS=73.72 3,False,22,26,1.5514466414182173e-09,,
48Ti,48,228,i,-37767.0,6.0,10726.0,6.0,,,,,(6+),T=3,6.0,,9999,,False,22,26,1.330127611309246e-07,,
48V,48,230,,-44478.0,1.0,,,,15.9735,d,0.0025,4+*,,6.0,,1937,B+=100,False,23,25,2.2166131299511323e-08,,
48V,48,238,i,-41459.16,0.23,3018.8,0.9,RQ,,,,(0)+,T=2,6.0,,9999,IT=100,False,23,25,5.0985513735707555e-09,,
48Cr,48,240,,-42821.0,7.0,,,,21.56,h,0.03,0+,,6.0,,1952,B+=100,False,24,24,1.551730670201645e-07,5.00e+7,17.72753356339242
48Cr,48,248,i,-37028.0,7.0,5792.77,0.24,,,,,4+,T=1,6.0,,1987,IT=100,False,24,24,1.5519299640764116e-07,5.00e+7,17.72753356339242
48Cr,48,249,j,-34061.0,15.0,8760.0,17.0,RQ,,,,0+  frg,T=2,6.0,,9999,,False,24,24,3.325782977608831e-07,5.00e+7,17.72753356339242
48Mn,48,250,,-29297.0,7.0,,,,158.1,ms,2.2,4+,,6.0,,1987,B+=100;B+p=0.28 4;B+A=6e-4,False,25,23,1.5522405259784728e-07,5.00e+0,1.6094379124341003
48Mn,48,258,i,-26260.0,7.0,3036.7,0.9,IT,,,,0+,T=2,6.0,,9999,p=100,False,25,23,1.5523450687564208e-07,5.00e+0,1.6094379124341003
48Fe,48,260,,-18010.0,90.0,,,,45.3,ms,0.6,0+,,6.0,,1987,B+=100;B+p=15.3 5,False,26,22,1.996294719798499e-06,,
48Co,48,270,,1730.0,500.0,,,,,,,6+.0,,6.0,,9999,p ?,True,27,21,1.1095702826367203e-05,,
48Ni,48,280,,18180.0,420.0,,,,2.8,ms,0.8,0+,,6.0,,2000,2p=70 20;B+=30 20;B+p ?,True,28,20,9.324061718657902e-06,,
49S,49,160,,20390.0,580.0,,,,4.0,ms,>400ns,1/2-.0,,8.0,,2018,B- ?;B-n ?;B-2n ?,True,16,33,1.260934742174364e-05,,
49Cl,49,170,,740.0,400.0,,,,35.0,ms,>200ns,3/2+.0,,8.0,,1989,B- ?;B-n ?;B-2n ?,True,17,32,8.692632626332673e-06,,
49Ar,49,180,,-17060.0,400.0,,,,236,ms,8,3/2-.0,,8.0,,1989,B-=100;B-n=29 6;B-2n ?,True,18,31,8.689515558120138e-06,1.10e+1,2.3978952727983707
49K,49,190,,-29611.5,0.8,,,,1.26,s,0.05,1/2+*,,11.0,,1972,B-=100;B-n=86 9,False,19,30,1.737478176487091e-08,2.70e+5,12.506177237980511
49Ca,49,200,,-41300.0,0.18,,,,8.718,m,0.006,3/2-*,,8.0,,1950,B-=100,False,20,29,3.90844349870617e-09,1.40e+7,16.454567887579532
49Sc,49,210,,-46562.4,2.3,,,,57.18,m,0.13,7/2-,,8.0,,1940,B-=100,False,21,28,4.993691878758101e-08,4.04e+6,15.211755249937333
49Ti,49,220,,-48564.01,0.08,,,,stbl,,,7/2-*,,8.0,,1934,IS=5.41 2,False,22,27,1.7369095956080097e-09,,
49V,49,230,,-47962.2,0.8,,,,330,d,15,7/2-*,,8.0,,1940,EC=100,False,23,26,1.7369810656686898e-08,,
49V,49,238,i,-41531.0,4.0,6432.0,4.0,RQ,,,,7/2-,T=5/2,,,9999,,False,23,26,8.686118222347285e-08,,
49Cr,49,240,,-45332.4,2.2,,,,42.3,m,0.1,5/2-*,,8.0,,1942,B+=100,False,24,25,4.777104844775324e-08,1.50e+5,11.918390573078392
49Cr,49,248,i,-40568.0,5.0,4764.0,5.0,,,,,(7/2)-,T=3/2,8.0,,1969,IT=100,False,24,25,1.0858179795345073e-07,1.50e+5,11.918390573078392
49Mn,49,250,,-37619.9,2.2,,,,382,ms,7,5/2-,,8.0,,1970,B+=100,False,25,24,4.778039207834344e-08,2.80e+3,7.937374696163295
49Mn,49,258,i,-32803.0,18.0,4817.0,18.0,p,,,,(7/2-),T=3/2,8.0,,9999,p=100,False,25,24,3.909713821779996e-07,2.80e+3,7.937374696163295
49Fe,49,260,,-24751.0,24.0,,,,64.7,ms,0.3,(7/2-),,8.0,,1970,B+=100;B+p=56.7 4,False,26,23,5.214010136189481e-07,,
49Co,49,270,,-9780.0,500.0,,,,,,<35ns,7/2-.0,,8.0,,9999,p ?,True,27,22,1.0866360672881312e-05,,
49Ni,49,280,,8530.0,600.0,,,,7.5,ms,1.0,7/2-.0,,8.0,,1996,B+=100;B+p=83.4 13.2,True,28,21,1.3045190499010934e-05,,
50Cl,50,170,,7700.0,400.0,,,,10.0,ms,>620ns,,,19.0,,2009,B- ?;B-n ?;B-2n ?,True,17,33,8.51995870200298e-06,,
50Ar,50,180,,-13230.0,500.0,,,,106,ms,6,0+,,19.0,,1989,B-=100;B-n=37 7;B-2n ?,True,18,32,1.064549580314545e-05,2.00e+0,0.6931471805599453
50K,50,190,,-25728.0,8.0,,,,472,ms,4,0-*,,19.0,,1972,B-=100;B-n=28.6 24;B-2n ?,False,19,31,1.7028730936784513e-07,5.00e+4,10.819778284410283
50K,50,191,m,-25556.0,8.0,172.0,0.4,,125,ns,40,(2-),,19.0,,1999,IT=100,False,19,31,1.7028793282213392e-07,5.00e+4,10.819778284410283
50Ca,50,200,,-39589.2,1.6,,,,13.45,s,0.05,0+,,19.0,,1964,B-=100,False,20,30,3.4048353307611647e-08,2.50e+5,12.429216196844383
50Sc,50,210,,-44537.1,2.5,,,,102.5,s,0.5,5+,,19.0,,1959,B-=100,False,21,29,5.319641495761303e-08,5.96e+4,10.995410853053441
50Sc,50,211,m,-44280.2,2.5,256.895,0.01,,350,ms,40,2+,,19.0,,1963,IT>99;B-<1,False,21,29,5.319670575546873e-08,5.96e+4,10.995410853053441
50Ti,50,220,,-51431.87,0.08,,,,stbl,,,0+,,19.0,,1934,IS=5.18 2,False,22,28,1.7020824064877022e-09,,
50V,50,230,,-49223.24,0.09,,,,271,Py,13,6+*,,19.0,,1949,IS=0.250 10;B+~100;B- ?,False,23,27,1.9149853887552373e-09,,
50V,50,238,i,-44410.71,0.28,4812.53,0.27,RQ,,,,0+,T=3,10.0,,9999,,False,23,27,5.958342449849128e-09,,
50Cr,50,240,,-50261.36,0.09,,,,stbl,,>1.3Ey,0+,,19.0,,1930,IS=4.345 13;2B+ ?,False,24,26,1.914995787776874e-09,,
50Cr,50,248,i,-41836.0,7.0,8425.0,7.0,RQ,,,,6+,T=2,19.0,,9999,,False,24,26,1.489708232054661e-07,,
50Cr,50,249,j,-37039.0,6.0,13222.0,6.0,RQ,,,,0+,T=3,19.0,,9999,,False,24,26,1.277023138530537e-07,,
50Mn,50,250,,-42626.89,0.12,,,,283.21,ms,0.07,0+*,T=1,19.0,,1952,B+=100,False,25,25,2.553812847948186e-09,7.60e+5,13.541073712262515
50Mn,50,251,m,-42401.57,0.11,225.31,0.07,MD,1.75,m,0.03,5+*,T=0,19.0,,1962,B+=100,False,25,25,2.341006336234426e-09,7.60e+5,13.541073712262515
50Fe,50,260,,-34476.0,8.0,,,,152.0,ms,0.6,0+,,19.0,,1977,B+=100;B+p~0,False,26,24,1.7028841609847658e-07,,
50Fe,50,268,i,-25999.0,10.0,8478.0,13.0,RQ,,,,(6+),T=2,19.0,,9999,,False,26,24,2.1289893600371944e-07,,
50Co,50,270,,-17590.0,130.0,,,,38.8,ms,0.2,(6+),,19.0,,1987,B+=100;B+p=70.5 7;B+2p ?,False,27,23,2.7682579839121088e-06,,
50Co,50,278,i,-12747.0,15.0,4840.0,130.0,2p,,,,(0)+,T=3,19.0,,9999,p=100,False,27,23,3.1944732680512113e-07,,
50Ni,50,280,,-3460.0,500.0,,,,18.5,ms,1.2,0+,,19.0,,1994,B+=100;B+p=73 6;B+2p=14 5,True,28,22,1.0650644071773421e-05,,
51Cl,51,170,,14290.0,700.0,,,,5.0,ms,>200ns,3/2+.0,,16.0,,1990,B- ?;B-n ?;B-2n ?,True,17,34,1.4619406781577525e-05,,
