el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
202At,202,850,,-10595.0,28.0,,,,184,s,1,3+*,,8.0,,1961,B+=88 7;A=12 7,False,85,117,1.476070187132161e-07,2.10e+8,19.162618088681743
202At,202,851,m,-10401.0,28.0,190.0,40.0,MD,182,s,2,7+*,,8.0,,1992,B+=91.5 15;A=8.5 15;IT ?,False,85,117,1.476071696719206e-07,2.10e+8,19.162618088681743
202At,202,852,n,-10010.0,28.0,590.0,40.0,MD,460,ms,50,10-,,8.0,,1992,IT=99.904 11;A=0.096 11;B+ ?,False,85,117,1.476074739246808e-07,2.10e+8,19.162618088681743
202Rn,202,860,,-6275.0,18.0,,,,9.7,s,0.1,0+,,8.0,,1967,A=78 8;B+ ?,False,86,116,9.489303436067361e-08,2.90e+6,14.880221294956703
202Rn,202,861,m,-3970.0,50.0,2310.0,50.0,,2.22,us,0.07,11-.0,,,,2002,IT=100,True,86,116,2.635949652083511e-07,2.90e+6,14.880221294956703
202Fr,202,870,,3102.0,6.0,,,,372,ms,12,3+*,,8.0,,1980,A~100;B+ ?,False,87,115,3.163279086871765e-08,7.10e+1,4.2626798770413155
202Fr,202,871,m,3359.0,6.0,257.0,6.0,AD,286,ms,13,10-*,,8.0,,1980,A~100;IT=?;B+ ?,False,87,115,3.163283372924218e-08,7.10e+1,4.2626798770413155
202Ra,202,880,,9075.0,15.0,,,,4.1,ms,1.1,0+,,8.0,,2005,A=100,False,88,114,7.908500684422362e-08,,
203Os,203,760,,-7270.0,400.0,,,,300.0,ms,>300ns,9/2+.0,,13.0,,2012,B- ?;B-n ?,True,76,127,2.0981872191011734e-06,,
203Ir,203,770,,-14370.0,400.0,,,,7.0,s,>300ns,3/2+.0,,13.0,,2009,B- ?,True,77,126,2.0981233130145034e-06,,
203Ir,203,771,m,-14170.0,400.0,200.0,50.0,,>100.0,ns,,11/2-.0,,,,9999,IT ?;B- ?,True,77,126,2.098125514077531e-06,,
203Ir,203,772,n,-12230.0,400.0,2140.0,50.0,,798,ns,350,(23/2+),,,,2011,IT=100,True,77,126,2.0981468646285552e-06,,
203Pt,203,780,,-19510.0,200.0,,,,22,s,4,(1/2-),,6.0,,2008,B-=100,True,78,125,1.0490404900617294e-06,,
203Pt,203,781,m,-18140.0,200.0,1367.0,3.0,,12,s,5,13/2+.0,,6.0,,2008,B-~100; IT ?,True,78,125,1.0490480284446556e-06,,
203Pt,203,782,n,-18090.0,210.0,1420.0,50.0,,>100.0,ns,,27/2-.0,,6.0,,2008,IT=100,True,78,125,1.1015007187486778e-06,,
203Pt,203,783,p,-16980.0,210.0,2530.0,50.0,,641,ns,55,33/2+.0,,,,2011,IT=100,True,78,125,1.1015071319634221e-06,,
203Au,203,790,,-23143.0,3.0,,,,60,s,6,3/2+,,5.0,,1952,B-=100,False,79,124,1.5735414245443362e-08,,
203Au,203,791,m,-22502.0,4.0,641.0,3.0,,140,us,44,11/2-.0,,5.0,,2005,IT=100,False,79,124,2.0980622866913025e-08,,
203Hg,203,800,,-25269.2,1.6,,,,46.610,d,0.010,5/2-*,,5.0,,1943,B-=100,False,80,123,8.392184269597676e-09,1.20e+9,20.905587393740365
203Hg,203,801,m,-24336.1,1.6,933.14,0.23,,22.1,us,1.0,(13/2+),,5.0,,1964,IT=100,False,80,123,8.392225342969312e-09,1.20e+9,20.905587393740365
203Hg,203,802,n,-16987.9,1.7,8281.3,0.5,,146,ns,30,(53/2+),,,,2011,IT=100,False,80,123,8.917083112188928e-09,1.20e+9,20.905587393740365
203Tl,203,810,,-25761.3,1.2,,,,stbl,,,1/2+*,,5.0,,1931,IS=29.515 44,False,81,122,6.294164653777715e-09,,
203Tl,203,811,m,-24277.6,1.5,1483.7,0.9,,<1,us,,(9/2-),,,,2020,IT=100,False,81,122,7.867767045838162e-09,,
203Tl,203,812,n,-22200.0,50.0,3565.0,50.0,,7.7,us,0.5,(25/2+),,5.0,,1998,IT=100,True,81,122,2.622617594944835e-07,,
203Pb,203,820,,-24786.0,7.0,,,,51.924,h,0.015,5/2-,,5.0,,1942,EC=100,False,82,121,3.6716397379357146e-08,6.40e+5,13.369223455335854
